method	aggregate	clip_quantile	backend	seconds	interactions	prob_sum	pearson_to_trimean	spearman_to_trimean	network_pearson_to_trimean	pathway_pearson_to_trimean	top100_overlap_to_trimean
tri_mean_cpu	tri_mean		cpu	1.9028640260003158	191738	5033.316211984102	1.0	1.0	1.0	1.0	1.0
clipped_p99_cpu	clipped_mean	0.99	cpu	3.5123511499987217	1296270	10380.990419588783	0.9126242875986542	0.5588705499188813	0.8499999467768768	0.9339498381145179	0.73
clipped_p95_cpu	clipped_mean	0.95	cpu	3.5054736489983043	1296270	10242.788934218177	0.9122341436390622	0.5590866148543495	0.8509765716964974	0.9336668204933604	0.7
gated_p99_cpu	gated_mean	0.99	cpu	1.7599986549976165	144311	6068.751268776097	0.9770439366491619	0.928536991507111	0.9862228544146812	0.9992627412272866	0.81
gated_p95_cpu	gated_mean	0.95	cpu	1.7712287999966065	144311	5993.755275171707	0.9768509671861308	0.9285983217609682	0.98623678973396	0.9993296270544427	0.74
